First Duel | #F3F4F6 | sword | #2563EB
First Egg | #F3F4F6 | egg | #2563EB
Collector | #F3F4F6 | pokeball | #2563EB
Partner | #F3F4F6 | pokeball | #2563EB
Beginner | #F3F4F6 | pokeball | #2563EB
Curious | #F3F4F6 | map | #2563EB
Explorer | #F3F4F6 | map | #2563EB
Field Appr | #F3F4F6 | shield | #2563EB
Rookie | #F3F4F6 | shield | #2563EB
First Steps | #F3F4F6 | shield | #2563EB
Casual | #F3F4F6 | shield | #2563EB
Undefeated | #9333EA | sword | #FDE047
Merciless | #9333EA | sword | #FDE047
Streak | #9333EA | sword | #FDE047
Master Breed | #9333EA | egg | #FDE047
Pokedex | #9333EA | pokeball | #FDE047
Veteran | #9333EA | pokeball | #FDE047
Wanderer | #9333EA | map | #FDE047
Prestige II | #9333EA | shield | #FDE047
Witness | #9333EA | star | #FDE047
Shiny Hunter | #9333EA | sparkle | #FDE047
Dragon Tamer | #9333EA | diamond | #FDE047
Fairy Master | #9333EA | diamond | #FDE047
Champion | #D97706 | sword | #FFFFFF
Comeback | #D97706 | sword | #FFFFFF
Breed Legend | #D97706 | egg | #FFFFFF
Dex Legend | #D97706 | pokeball | #FFFFFF
Guardian | #D97706 | map | #FFFFFF
Master | #D97706 | shield | #FFFFFF
Prestige III | #D97706 | shield | #FFFFFF
Legend Tamer | #D97706 | star | #FFFFFF
Articuno | #D97706 | star | #FFFFFF
Azelf | #D97706 | star | #FFFFFF
Calyrex | #D97706 | star | #FFFFFF
Chien-Pao | #D97706 | star | #FFFFFF
Chi-Yu | #D97706 | star | #FFFFFF
Cobalion | #D97706 | star | #FFFFFF
Cosmoem | #D97706 | star | #FFFFFF
Cosmog | #D97706 | star | #FFFFFF
Cresselia | #D97706 | star | #FFFFFF
Dialga | #D97706 | star | #FFFFFF
Enamorus | #D97706 | star | #FFFFFF
Entei | #D97706 | star | #FFFFFF
Eternatus | #D97706 | star | #FFFFFF
Fezandipiti | #D97706 | star | #FFFFFF
Giratina | #D97706 | star | #FFFFFF
Glastrier | #D97706 | star | #FFFFFF
Groudon | #D97706 | star | #FFFFFF
